ClimateDataEdit3
Year,Mo,Globe,Land,Ocean,NH,Land,Ocean,SH,Land,Ocean,NoPol,Land,Ocean,SoPol,Land,Ocean
2010,5,0.29,0.31,0.28,0.42,0.38,0.45,0.15,0.17,0.15,1.1,1.07,1.12,-0.81,-0.57,-0.92
2010,6,0.18,0.11,0.21,0.23,0.23,0.24,0.13,-0.16,0.19,-0.06,-0.28,0.18,-0.99,-1.75,-0.63
2010,7,0.2,0.13,0.22,0.32,0.41,0.27,0.07,-0.48,0.19,0.45,0.71,0.14,-1.4,-2.49,-0.89
2010,8,0.21,0.22,0.21,0.34,0.4,0.3,0.09,-0.19,0.15,0.58,0.43,0.74,-1.08,-1.88,-0.7
2010,9,0.19,0.18,0.2,0.15,0.19,0.13,0.24,0.17,0.25,0.3,0.02,0.62,0.34,0.3,0.37
2010,10,0.02,0.07,0,-0.02,0.17,-0.14,0.06,-0.16,0.11,0.38,0.24,0.54,-0.04,-0.14,0
2010,11,0.01,0.15,-0.04,0.09,0.5,-0.17,-0.06,-0.65,0.06,0.25,0.7,-0.27,-0.73,-1.28,-0.47
2010,12,-0.04,0.08,-0.09,-0.11,0.14,-0.28,0.04,-0.05,0.05,0.61,0.65,0.57,-0.06,0.07,-0.12
2011,1,-0.21,-0.28,-0.18,-0.34,-0.4,-0.31,-0.07,0.01,-0.09,0.89,0.9,0.87,-0.1,0.48,-0.38
2011,2,-0.21,-0.43,-0.13,-0.33,-0.47,-0.23,-0.1,-0.34,-0.05,-0.77,-1.25,-0.21,-0.27,-0.02,-0.38
2011,3,-0.31,-0.33,-0.31,-0.41,-0.41,-0.41,-0.22,-0.16,-0.23,0.19,0.11,0.28,0.27,0.44,0.19
2011,4,-0.16,-0.06,-0.2,-0.19,-0.07,-0.27,-0.13,-0.03,-0.15,-0.09,-0.15,-0.02,0.27,1.05,-0.1
2011,5,-0.12,-0.11,-0.13,-0.19,-0.1,-0.24,-0.06,-0.13,-0.05,0.16,0.18,0.13,-0.08,0.06,-0.14
2011,6,0.01,0.09,-0.02,0.02,0.13,-0.05,0,-0.01,0,0.22,0.2,0.26,0.12,-0.08,0.22
2011,7,0.07,0.23,0,0.08,0.17,0.02,0.06,0.37,-0.01,0.2,0.3,0.1,1.18,2.09,0.75
2011,8,0.03,0.15,-0.02,0,0.04,-0.03,0.06,0.41,-0.02,0.11,0,0.25,1.03,2.1,0.53
2011,9,-0.01,0.14,-0.07,-0.01,0.11,-0.1,0,0.2,-0.04,0.25,0.2,0.32,0.65,0.83,0.56
2011,10,-0.23,-0.1,-0.28,-0.17,0.02,-0.29,-0.29,-0.37,-0.27,-0.24,-0.15,-0.34,-0.16,0.03,-0.25
2011,11,-0.17,-0.16,-0.18,-0.25,-0.3,-0.22,-0.1,0.15,-0.15,-0.41,-0.59,-0.19,0.19,1.04,-0.21
2011,12,-0.12,-0.1,-0.14,-0.15,-0.01,-0.24,-0.1,-0.29,-0.06,-0.62,-0.27,-1.02,-0.32,-0.4,-0.29
2012,1,-0.34,-0.5,-0.28,-0.39,-0.53,-0.3,-0.29,-0.42,-0.26,-0.11,-0.39,0.22,-0.55,-0.73,-0.46
2012,2,-0.39,-0.47,-0.35,-0.37,-0.5,-0.28,-0.4,-0.41,-0.4,0.8,0.72,0.9,-0.04,-0.04,-0.04
2012,3,-0.17,-0.25,-0.13,-0.21,-0.29,-0.16,-0.13,-0.16,-0.12,-0.34,-0.75,0.14,0.29,0.24,0.31
2012,4,-0.02,0.23,-0.11,0.01,0.41,-0.25,-0.04,-0.18,-0.01,0.57,0.9,0.2,-0.04,0.27,-0.18
2012,5,-0.07,0.17,-0.17,0.09,0.33,-0.06,-0.24,-0.19,-0.25,0.51,0.72,0.27,-0.05,0.12,-0.13
2012,6,0.01,0.14,-0.05,0.16,0.42,-0.01,-0.15,-0.52,-0.07,1.18,1.44,0.89,-0.6,-1.03,-0.4
2012,7,-0.11,-0.07,-0.13,0.04,0.23,-0.09,-0.27,-0.75,-0.17,0.19,0.46,-0.11,-1.34,-2.17,-0.95
2012,8,-0.05,-0.05,-0.05,-0.08,-0.04,-0.11,-0.01,-0.09,0,-0.28,-0.4,-0.14,-0.28,-0.5,-0.18
2012,9,0.04,0.08,0.03,0,0.12,-0.08,0.09,-0.02,0.11,0.26,0.56,-0.09,-0.37,-0.8,-0.17
2012,10,0.05,0.01,0.07,-0.02,-0.16,0.06,0.13,0.38,0.08,0.17,0.09,0.26,0.49,1.02,0.24
2012,11,0.03,0.2,-0.04,0,0.1,-0.07,0.06,0.41,-0.01,0.39,0.15,0.67,0.64,1.22,0.36
2012,12,0,-0.15,0.07,-0.23,-0.44,-0.1,0.24,0.49,0.19,-0.14,-0.3,0.04,1.42,2.07,1.11
2013,1,0.31,0.28,0.32,0.24,0.13,0.31,0.38,0.64,0.33,0.24,-0.04,0.57,1.27,1.35,1.23
2013,2,-0.03,-0.06,-0.02,0.03,0,0.05,-0.1,-0.2,-0.07,-0.34,-0.35,-0.33,-0.11,-0.4,0.03
2013,3,-0.02,0.02,-0.04,0.02,0.07,-0.02,-0.06,-0.1,-0.05,-0.57,-1.07,0,-0.42,-0.64,-0.31
2013,4,-0.07,-0.19,-0.02,-0.12,-0.23,-0.04,-0.02,-0.08,-0.01,-0.66,-0.65,-0.66,-0.15,-0.72,0.11
2013,5,-0.12,0.05,-0.19,-0.09,0.1,-0.21,-0.15,-0.04,-0.17,-0.41,-0.08,-0.79,-0.57,-0.66,-0.53
2013,6,0.07,0.22,0.02,0.09,0.23,-0.01,0.06,0.21,0.03,0.4,0.63,0.14,-0.39,0.46,-0.8
2013,7,-0.09,-0.12,-0.08,-0.12,-0.12,-0.12,-0.06,-0.11,-0.05,0.08,0,0.18,-1.02,-0.94,-1.05
2013,8,-0.07,0.05,-0.12,-0.11,-0.04,-0.16,-0.03,0.26,-0.1,-0.06,0.15,-0.3,0.34,1.16,-0.04
2013,9,0.05,0.3,-0.04,0.09,0.07,0.1,0.02,0.81,-0.14,-0.02,-0.05,0.01,1.13,3.1,0.19
2013,10,0.02,0.22,-0.05,0.11,0.21,0.05,-0.07,0.24,-0.13,0.07,0.28,-0.18,0.2,0.91,-0.14
2013,11,-0.09,0.14,-0.17,-0.1,0.12,-0.25,-0.07,0.18,-0.12,-0.75,-0.35,-1.22,-0.22,0.84,-0.72
2013,12,0.02,0.09,-0.01,-0.01,-0.06,0.02,0.04,0.43,-0.04,0.18,0.52,-0.21,0.93,1.37,0.72
2014,1,0.06,0.08,0.05,0.1,0.04,0.13,0.02,0.18,-0.01,0.62,0.24,1.06,0.37,0.84,0.14
2014,2,-0.02,-0.2,0.05,0.01,-0.2,0.14,-0.05,-0.2,-0.02,1,0.59,1.46,-0.32,-0.33,-0.32
2014,3,-0.03,-0.08,-0.01,0.03,0.08,-0.01,-0.08,-0.44,0,0.48,0.47,0.5,-0.31,-0.69,-0.12
2014,4,-0.01,0.03,-0.03,0.07,0.12,0.05,-0.1,-0.18,-0.08,-0.23,-0.1,-0.37,-0.28,-0.61,-0.12
2014,5,0.12,0.21,0.08,0.08,0.09,0.07,0.15,0.5,0.08,0.23,0.44,0,0.73,1.54,0.35
2014,6,0.12,-0.01,0.17,0.02,-0.1,0.1,0.22,0.21,0.22,-0.27,-0.35,-0.18,-0.79,-0.6,-0.88
2014,7,0.08,-0.1,0.15,0.04,-0.08,0.13,0.12,-0.13,0.17,0.03,0.09,-0.03,-0.15,-0.76,0.14
2014,8,-0.06,-0.08,-0.06,-0.04,-0.06,-0.03,-0.08,-0.12,-0.08,0.1,0.13,0.07,0.01,-0.21,0.11
2014,9,-0.01,0.04,-0.04,-0.11,-0.14,-0.08,0.08,0.46,0,-0.63,-0.59,-0.67,0.53,1.39,0.12
2014,10,0.08,0.16,0.05,0.08,0.07,0.09,0.09,0.37,0.03,-0.21,-0.3,-0.11,0.05,0.06,0.05
